Course Code Start End Location Days
APPLMATH 4999Z 12:30 13:30 SEB-1059 MWF
APPLMATH 4999Z 11:30 12:30 SEB-1059 MWF
APPLMATH 4999Z 13:30 14:30 SSC-2050 H
APPLMATH 4999Z 08:30 09:30 P&AB-34 MWF
APPLMATH 4999Z 13:30 15:30 MC-17 T
APPLMATH 4999Z 13:30 14:30 MC-17 H
APPLMATH 4999Z 09:30 10:30 MC-17 MWF
APPLMATH 4999Z 10:30 11:30 MC-17 MWF
APPLMATH 4999Z 13:30 14:30 UCC-37 MWF
APPLMATH 4999Z 14:30 17:30 SH-2355 H
APPLMATH 4999Z 13:30 14:30 UCC-59 MWF
ARABIC 5260B 11:30 13:30 UCC-59 MW
ARABIC 5260B 16:30 18:30 KB-K106 MW
ARABIC 5260B 11:30 13:30 UCC-59 MW
ARABIC 5260B 14:30 16:30 UCC-59 MW
ARABIC 5260B 16:30 19:30 HC-W8 H
ARABIC 5260B 16:30 19:30 HC-W8 H
ARTHUM 4493G 14:30 17:30 AHB-1B04 W
ARTHUM 4493G 14:30 17:30 WL-109 W
ARTHUM 4493G 09:30 12:30 NCB-114 H
ARTHUM 4493G 16:30 18:30 FNB-2210 M
ARTHUM 4493G 11:30 12:30 FNB-2210 W
ARTHUM 4493G 15:30 18:30 FNB-2240 W
ARTHUM 4493G 08:30 11:30 VAC-247 M
ARTHUM 4493G 10:30 11:30 SH-2355 MWF
ARTHUM 4493G 09:30 12:30 KB-K208 W
ARTHUM 4493G 09:30 12:30 UCC-54A T
ARTHUM 4493G 13:30 16:30 AHB-2R23 F
ASTRONOM 4602B 19:00 22:00 HSB-40 T
ASTRONOM 4602B 13:30 15:30 UCC-146 T
ASTRONOM 4602B 15:30 16:30 UCC-146 H
ASTRONOM 4602B 19:00 22:00 NS-145 M
ASTRONOM 4602B 19:00 22:00 AHB-1R40 M
ASTRONOM 4602B 14:30 15:30 WSC-55 MW
ASTRONOM 4602B 13:30 15:30 P&AB-148 T
ASTRONOM 4602B 14:30 15:30 P&AB-148 H
ASTRONOM 4602B 13:30 14:30 P&AB-48 T
ASTRONOM 4602B 14:30 15:30 P&AB-106 T
ASTRONOM 4602B 14:30 15:30 P&AB-117 H
ASTRONOM 4602B 13:30 14:30 P&AB-117 H
ASTRONOM 4602B 09:30 10:30 P&AB-148 T
ASTRONOM 4602B 09:30 11:30 P&AB-148 H
ASTRONOM 4602B 10:30 12:30 FNB-2210 T
ASTRONOM 4602B 10:30 11:30 P&AB-150 H
BIBLSTUD 5501A 09:30 10:30 HC-W4 M
BIBLSTUD 5501A 09:30 11:30 HC-W4 W
BIBLSTUD 5501A 10:30 11:30 HC-W104 M
BIBLSTUD 5501A 09:30 11:30 HC-W104 W
BIBLSTUD 5501A 11:30 13:30 HC-W4 T
BIBLSTUD 5501A 11:30 12:30 HC-W4 F
BIBLSTUD 5501A 09:30 10:30 HC-W106 M
BIBLSTUD 5501A 09:30 11:30 HC-W106 H
BIOCHEM 4999E 14:30 15:30 NCB-101 MWF
BIOCHEM 4999E 15:30 16:30 NCB-101 THF
BIOCHEM 4999E 14:30 15:30 NCB-101 MWF
BIOCHEM 4999E 15:30 16:30 NCB-101 THF
BIOCHEM 4999E 13:30 14:30 MSB-120 H
BIOCHEM 4999E 14:30 17:30 MSB-120 H
BIOCHEM 4999E 13:30 14:30 MSB-120 F
BIOCHEM 4999E 14:30 17:30 MSB-120 F
BIOCHEM 4999E 12:30 13:30 SSC-2050 MWF
BIOCHEM 4999E 17:30 18:30 NSC-1 W
BIOCHEM 4999E 10:30 11:30 3M-3250 TH
BIOCHEM 4999E 14:30 15:30 B&GS-0165 F
BIOCHEM 4999E 17:30 18:30 NSC-1 T
BIOCHEM 4999E 11:30 12:30 NS-7 MWF
BIOCHEM 4999E 09:30 10:30 SH-3345 MWF
BIOCHEM 4999E 12:30 13:30 DSB-2016 MW
BIOCHEM 4999E 10:30 11:30 SH-1310 H
BIOCHEM 4999E 12:30 13:30 MSB-M282 TH
BIOCHEM 4999E 13:30 14:30 NCB-117 MW
BIOCHEM 4999E 11:30 12:30 NCB-114 F
BIOCHEM 4999E 09:30 10:30 MSB-M384 TH
BIOCHEM 4999E 12:30 13:30 NS-7 TH
BIOCHEM 4999E 10:30 11:30 P&AB-106 TH
BIOCHEM 4999E 18:30 21:30 UCC-66 T
BIOCHEM 4999E 11:30 12:30 MSB-M384 TH
BIOLOGY 4999E 08:30 10:30 BR-UH27 W
BIOLOGY 4999E 09:30 12:30 NCB-340 T
BIOLOGY 4999E 09:30 12:30 NCB-340 H
BIOLOGY 4999E 10:30 11:30 NCB-101 MW
BIOLOGY 4999E 09:30 12:30 NCB-310 M
BIOLOGY 4999E 09:30 12:30 NCB-310 W
BIOLOGY 4999E 09:30 12:30 NCB-310 F
BIOLOGY 4999E 09:30 12:30 NCB-320 M
BIOLOGY 4999E 09:30 12:30 NCB-320 W
BIOLOGY 4999E 09:30 12:30 NCB-320 F
BIOLOGY 4999E 09:30 12:30 NCB-309 M
BIOLOGY 4999E 09:30 12:30 NCB-309 W
BIOLOGY 4999E 14:30 17:30 NCB-310 M
BIOLOGY 4999E 14:30 17:30 NCB-320 H
BIOLOGY 4999E 18:00 21:00 NCB-310 M
BIOLOGY 4999E 18:00 21:00 NCB-320 M
BIOLOGY 4999E 10:30 11:30 NCB-101 TH
BIOLOGY 4999E 09:30 12:30 NCB-340 H
BIOLOGY 4999E 10:30 11:30 NCB-101 MW
BIOLOGY 4999E 09:30 12:30 NCB-310 M
BIOLOGY 4999E 09:30 12:30 NCB-310 W
BIOLOGY 4999E 09:30 12:30 NCB-310 F
BIOLOGY 4999E 09:30 12:30 NCB-320 M
BIOLOGY 4999E 09:30 12:30 NCB-320 W
BIOLOGY 4999E 09:30 12:30 NCB-320 F
BIOLOGY 4999E 09:30 12:30 NCB-309 M
BIOLOGY 4999E 09:30 12:30 NCB-309 W
BIOLOGY 4999E 14:30 17:30 NCB-310 M
BIOLOGY 4999E 14:30 17:30 NCB-320 H
BIOLOGY 4999E 18:00 21:00 NCB-310 M
BIOLOGY 4999E 18:00 21:00 NCB-320 M
BIOLOGY 4999E 10:30 11:30 NCB-101 TH
BIOLOGY 4999E 10:30 11:30 NS-145 MW
BIOLOGY 4999E 09:30 12:30 NCB-320 T
BIOLOGY 4999E 09:30 12:30 NCB-320 H
BIOLOGY 4999E 09:30 12:30 NCB-309 T
BIOLOGY 4999E 09:30 12:30 NCB-309 F
BIOLOGY 4999E 09:30 12:30 NCB-340 F
BIOLOGY 4999E 14:30 17:30 NCB-309 M
BIOLOGY 4999E 14:30 17:30 NCB-340 M
BIOLOGY 4999E 14:30 17:30 NCB-309 T
